task_id,split,domain,graph_seed,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,robust_skew_abs_median,robust_tail_q99_iqr_median,max_abs_z_q995,crossfit_residual_dependence_mean,crossfit_residual_dependence_max,residual_skew_abs_median,residual_excess_kurtosis_abs_median,split_graph_stability_jaccard,split_graph_disagreement,diagnostic_failure,error_type,runtime_sec
calibration_src_interaction_studentt8_0005,calibration,src_interaction_studentt8,100906,0.0460800651400361,0.5986094528590096,0.2622816740260285,0.2586251471584805,-0.0163819534060371,-0.017398680969998,0.0163113565293333,0.0328888346997511,3.7410187222234095,4.265769527937456,0.0138075666075666,0.0249195369195369,0.1297124254585398,0.8252473249756169,0.9,0.0999999999999999,0,nan,0.2383479999843984
calibration_src_interaction_studentt8_0011,calibration,src_interaction_studentt8,100912,0.0855032785405359,0.8657722788156572,0.1684450807613767,0.1675310477977145,-0.005853178590416,-0.0047524461804411,0.0174086616511221,0.0287185183771655,3.783745294420961,5.14503373681523,0.0168263628263628,0.057021045021045,0.0716224812319723,0.4310809874241978,0.5333333333333333,0.4666666666666667,0,nan,0.2329829999944195
calibration_src_interaction_studentt8_0017,calibration,src_interaction_studentt8,100918,0.1211839224638105,0.5964947310212327,0.1556262309543903,0.1552999008999009,0.0004511702115594,0.0046294791381472,0.093045808363275,0.1240060692787732,3.652764675173759,4.960469115139095,0.0241319269319269,0.0474355194355194,0.0997256532561343,1.155494197769103,0.8333333333333334,0.1666666666666666,0,nan,0.2425289999810047
calibration_src_interaction_studentt8_0023,calibration,src_interaction_studentt8,100924,0.1629680642388727,0.5696847733688617,0.2747620026841253,0.2875129672463006,0.017317334065092,0.0208086570699502,0.0851049296866932,0.1007351299645405,3.408664673149859,4.700110236985483,0.0394304146304146,0.0824015384015384,0.2012965285595551,1.4033885456911803,0.2727272727272727,0.7272727272727273,0,nan,0.2483846999821253
calibration_src_interaction_studentt8_0029,calibration,src_interaction_studentt8,100930,0.1471319699433864,0.6599364685170366,0.1405523610554938,0.1487032481699148,0.0391999160224848,0.0599152962764599,0.1807193871991742,0.0877784239660227,3.63340670273731,4.749987342646084,0.0399782499782499,0.1219071259071259,0.1103848061299437,0.954221243072686,0.4285714285714285,0.5714285714285714,0,nan,0.2345983999839518
calibration_src_interaction_studentt8_0035,calibration,src_interaction_studentt8,100936,0.251800060489827,1.917772289908536,0.3850941151402111,0.373596295996296,-0.0124898095374452,-0.0169264581734078,0.000979529642298,0.1406932562430828,3.7837139294928903,4.659546504795579,0.0135873015873015,0.0264145104145104,0.0843998602632899,0.7537738270257839,0.8571428571428571,0.1428571428571429,0,nan,0.2097023999958764
calibration_src_interaction_studentt8_0041,calibration,src_interaction_studentt8,100942,0.1551601814950255,0.6974355460841414,0.2323925758491976,0.2332897892894652,-0.0012085503392441,-0.0008884489071437,0.0140816632887181,0.1497685724621908,3.7691957380621184,4.443212942403832,0.0257536829601365,0.0477051717051717,0.0894101498023888,0.996787529531219,0.7333333333333333,0.2666666666666667,0,nan,0.2174339000193867
calibration_src_interaction_studentt8_0047,calibration,src_interaction_studentt8,100948,0.1105596530569182,1.077290188671154,0.1714097479078385,0.1762339661006327,-0.0032062076481346,-0.0023998058449707,0.0290584657917675,0.0856960860282919,3.816603287095134,5.669107825278169,0.0208768144768144,0.043068523068523,0.090112799148242,0.7155437029416838,0.2666666666666666,0.7333333333333334,0,nan,0.2516377000138163
calibration_src_interaction_studentt8_0053,calibration,src_interaction_studentt8,100954,0.1565689643384972,0.6484065614953582,0.2025685329953844,0.2093077410410743,0.0138125931168985,0.0267526855538675,0.0918782872842822,0.1590866695120513,3.420131496032134,4.337468391323867,0.0412801996801996,0.0864742584742584,0.1094070376998885,1.318307101280738,0.1428571428571428,0.8571428571428572,0,nan,0.2327484000124968
calibration_src_interaction_studentt8_0059,calibration,src_interaction_studentt8,100960,0.1249803551956399,0.4549696639050914,0.1974321951426596,0.2106310975518407,0.0443315668979929,0.0581335624726792,0.1683987164146874,0.1273312254962434,3.464981198240411,4.275097306792947,0.047846908057756,0.1253366093366093,0.1550124434581145,1.099739284941542,0.4583333333333333,0.5416666666666667,0,nan,0.2199007000017445
calibration_src_interaction_studentt8_0065,calibration,src_interaction_studentt8,100966,0.1395793653931598,1.0571151056896728,0.12673703249894,0.1236915844915844,-0.0146760220518204,-0.0277773763328929,0.0036663084549068,0.0893323967299339,4.027767817043532,5.143148775434528,0.0103039567039567,0.0251205131205131,0.0742771295120841,0.6322237794710479,0.3529411764705882,0.6470588235294117,0,nan,0.2839107000036165
calibration_src_interaction_studentt8_0071,calibration,src_interaction_studentt8,100972,0.1072497157834108,1.0406421543978694,0.2128434500761376,0.2151341452674786,-0.003597228536385,-0.0027382498897266,0.0191874404386447,0.048951036388036,3.767136721434366,4.752369917786126,0.0174504306504306,0.0314402474402474,0.0828569950756546,0.7648068066275122,0.7777777777777778,0.2222222222222222,0,nan,0.2188616000057663
calibration_src_interaction_studentt8_0077,calibration,src_interaction_studentt8,100978,0.1351333242578001,0.5715318244969957,0.3033670399907219,0.3075639174305841,0.0071070246609846,0.0071283595247084,0.0356481342633468,0.1332344267132705,3.609379029112446,4.724295852811281,0.0282625338625338,0.0705332985332985,0.1517834779274817,0.855160433389379,0.3333333333333333,0.6666666666666667,0,nan,0.2139835000270977
calibration_src_interaction_studentt8_0083,calibration,src_interaction_studentt8,100984,0.1265499292402306,1.4011743836000048,0.1316159179230057,0.1360388369311459,-0.0002165832373433,0.0093691898148679,0.0800413580661538,0.1005427577305059,4.0512538437678,5.252307977696884,0.0295216675434753,0.0643812825744264,0.1157557504316059,0.8644007528986932,0.1538461538461538,0.8461538461538461,0,nan,0.2151298999961
calibration_src_interaction_studentt8_0089,calibration,src_interaction_studentt8,100990,0.0876954477383236,0.6243825872944819,0.1979026536552176,0.2107305792639126,0.0447643357064402,0.0660024141822858,0.1579044664507621,0.0561986291159226,3.5565456230620223,4.419433819943658,0.0488622824622824,0.1421232461232461,0.1236180123970197,0.8258835210539448,0.5161290322580645,0.4838709677419355,0,nan,0.2149605999875348
calibration_src_interaction_studentt8_0095,calibration,src_interaction_studentt8,100996,0.0852420130904234,0.9054600126738622,0.2298270246232605,0.2265819447152781,-0.004137487634522,-0.0071700665016601,0.009661665789078,0.069038125484396,3.822954885103874,4.63368678694163,0.01923012003012,0.0452168972168972,0.142514581494315,1.0908803535861429,1.0,0.0,0,nan,0.2098043000150937
calibration_src_interaction_studentt8_0101,calibration,src_interaction_studentt8,101002,0.1143122084469583,1.2323931531008858,0.1702847814847902,0.1719178028511362,-0.0029402975435013,-0.0043517289965712,0.0254821825733628,0.0906646655886127,3.932127088427613,4.933673642040437,0.0215119871119871,0.0446347406347406,0.0871060696969278,0.7224539157270831,0.1538461538461538,0.8461538461538461,0,nan,0.2111347000172827
calibration_src_interaction_studentt8_0107,calibration,src_interaction_studentt8,101008,0.1219960863834328,0.827450372233516,0.1264628377272715,0.1278066323399657,-0.0060941878764769,-0.002095655567136,0.0532742785552123,0.1216533736850168,3.873860485389482,4.734489603891326,0.0207056583056583,0.0306797106797106,0.1273287816828371,0.6844843179200459,0.0526315789473684,0.9473684210526316,0,nan,0.2282701999938581
calibration_src_interaction_studentt8_0113,calibration,src_interaction_studentt8,101014,0.1602961357177646,0.7657517378000963,0.1609395761505288,0.1706423829090496,0.0108444640391503,0.0146644192893873,0.1031542138963162,0.1419738423786803,3.548028956265034,4.707576702960761,0.0480025056025056,0.0863732423732423,0.1937304221083287,1.308707557035087,0.4736842105263157,0.5263157894736843,0,nan,0.2226814999885391
calibration_src_interaction_studentt8_0119,calibration,src_interaction_studentt8,101020,0.1318863961912027,0.707417439380448,0.1408840323725774,0.1464733128733129,0.0230555972020095,0.0348214292391234,0.1462616457446911,0.1025407330067622,3.691352550008581,4.366076982172821,0.0436955704955705,0.0833076353076353,0.2574744248336888,1.1706608472825877,0.25,0.75,0,nan,0.2169808000035118
calibration_src_interaction_studentt8_0125,calibration,src_interaction_studentt8,101026,0.1213041225059858,0.9043782125609254,0.1463048577636924,0.1427861521194854,-0.0063871383090238,-0.0078561012299493,0.0043953251154177,0.0948814780693115,3.916614486744981,4.807348688517144,0.0117671217671217,0.0256983616983616,0.1077879744556825,0.634433495037084,0.7,0.3,0,nan,0.2297162000031676
calibration_src_interaction_studentt8_0131,calibration,src_interaction_studentt8,101032,0.1409130547605915,0.7102353847586309,0.1962915920884961,0.1960240968240968,0.0004011292040757,-0.0027306086350654,0.0124121238470207,0.1246200155237603,3.738250966403058,4.465714394833107,0.0198834054834054,0.0469465189465189,0.1006130791448551,0.8606128909542534,0.7692307692307693,0.2307692307692307,0,nan,0.2154847999918274
calibration_src_interaction_studentt8_0137,calibration,src_interaction_studentt8,101038,0.1504838401738263,1.0239744213457125,0.1374738402291776,0.1378648478649877,0.0022784235512925,0.0030206608174156,0.0381986370141397,0.1362348976301921,3.912643454708279,4.683750070882821,0.0198830898831971,0.0422533982533982,0.1391713533778183,0.9118237720438438,0.2857142857142857,0.7142857142857143,0,nan,0.2267139000177849
calibration_src_interaction_studentt8_0143,calibration,src_interaction_studentt8,101044,0.1523338509329149,0.7170687655461595,0.1931868232593289,0.1975050857717524,0.0105215352362442,0.0126643283669585,0.0577127618459095,0.1312371792194001,3.5399978703581407,4.579773050724468,0.0298998610998611,0.0688412608412608,0.1284786575416245,0.9307218242647196,0.1944444444444444,0.8055555555555556,0,nan,0.2261538000020664
calibration_src_interaction_studentt8_0149,calibration,src_interaction_studentt8,101050,0.1336783046014515,0.6453020157374789,0.1790133295245121,0.1891438168771501,0.0234831977863274,0.0430799991227713,0.1884630097262498,0.1068685351141363,3.525961517232284,4.938938043073939,0.0417546777546777,0.0929746769746769,0.1914748126651162,1.1279406593462495,0.3636363636363636,0.6363636363636364,0,nan,0.2165530000056605
calibration_src_interaction_studentt8_0155,calibration,src_interaction_studentt8,101056,0.1696154311932096,1.6476043896750654,0.1766884468631464,0.1663091543091543,-0.0091640429484394,-0.0098094345091414,0.0181053823724066,0.1198267945493816,4.125270497624232,5.353849160378712,0.0085678357678357,0.024042336042336,0.0566779869563299,0.8386416452194605,1.0,0.0,0,nan,0.230113400000846
calibration_src_interaction_studentt8_0161,calibration,src_interaction_studentt8,101062,0.1624505214780458,1.0911905439261875,0.2075997496060301,0.2046970065636732,-0.0038344924708076,-0.0067411384891773,0.0107801985600951,0.092918093286687,3.836451562579553,4.808450339644418,0.0109509889509889,0.0243295563295563,0.1171094924190332,1.0099868694863483,0.7333333333333333,0.2666666666666667,0,nan,0.2175919000001158
calibration_src_interaction_studentt8_0167,calibration,src_interaction_studentt8,101068,0.1364742313633785,0.8828820265139619,0.1531246939811636,0.1575948381281715,0.0013025731549396,0.0002298698398995,0.0310084703563913,0.1454552175120612,3.76058466036015,5.065046715972758,0.0280333048333048,0.0524016404016404,0.146080343779217,0.8316068777908912,0.25,0.75,0,nan,0.2541873000154737
calibration_src_interaction_studentt8_0173,calibration,src_interaction_studentt8,101074,0.1936128750942801,0.8792640153627052,0.2584643266989062,0.2697875719209053,0.021302606482953,0.0295667108832879,0.0948583196272238,0.2171410088604981,3.5830177118887327,5.026300705264263,0.0429506325506325,0.0701225261225261,0.2639020271269876,2.020288983169387,0.1515151515151515,0.8484848484848485,0,nan,0.2265942000085488
calibration_src_interaction_studentt8_0179,calibration,src_interaction_studentt8,101080,0.1272810832649122,0.7034820916763342,0.2693764857657875,0.2904224810891477,0.0379685704571972,0.052449022270791,0.1262282425199372,0.1264389438233742,3.2202185909519114,4.647486299536438,0.058833108033108,0.0945320505320505,0.2405164169881283,2.1046180824199743,0.2121212121212121,0.7878787878787878,0,nan,0.2224588000099174
calibration_src_interaction_studentt8_0185,calibration,src_interaction_studentt8,101086,0.14846083408187,0.9018013575854632,0.2012391023415148,0.1941562170895504,-0.0161445424868668,-0.018761193085971,0.0007483950304255,0.131145578227963,3.908378254210061,4.637474336461883,0.0205105861105861,0.0376832656832656,0.0692127957141469,1.1289206160354937,0.5555555555555556,0.4444444444444444,0,nan,0.2470235000073444
calibration_src_interaction_studentt8_0191,calibration,src_interaction_studentt8,101092,0.2001256958896825,1.746695186825083,0.2461116157715805,0.2484615961949295,-0.0051731044600378,-0.0086343227702841,0.0133944096588874,0.0977943706427182,3.762266018563212,4.677050824127057,0.0136280824280824,0.0355812595812595,0.0876033619571512,1.033572879284036,1.0,0.0,0,nan,0.2093498999893199
calibration_src_interaction_studentt8_0197,calibration,src_interaction_studentt8,101098,0.1552677062209848,0.4546999310200995,0.4401892657359197,0.4520317506984173,0.0152388467852664,0.0172580523644387,0.0523426221486394,0.1149111853361254,3.460825800431929,4.226490994491027,0.0269830529830529,0.0428300348300348,0.1463446815571055,1.0335198933040948,0.3703703703703703,0.6296296296296297,0,nan,0.2197066999797243
calibration_src_interaction_studentt8_0203,calibration,src_interaction_studentt8,101104,0.1251078247488013,0.559789621304505,0.2663976504817067,0.284256805323472,0.0414324774368857,0.0403106559435721,0.0977259008392157,0.0880395935190457,3.4376414867031366,4.675666229719949,0.0368168456168456,0.0784987744987745,0.0696204157100847,0.852217679849943,0.1,0.9,0,nan,0.2292116000025998
calibration_src_interaction_studentt8_0209,calibration,src_interaction_studentt8,101110,0.1626648294143861,0.8294243000139465,0.1263255529887232,0.1310105019438353,0.0430811484293189,0.046741414746996,0.1626546730656168,0.0788121091770947,3.725077046983407,4.880201741893611,0.0442887598887598,0.0782602622602622,0.1796955284596597,0.9447528756862776,0.7692307692307693,0.2307692307692307,0,nan,0.2062903000041842
calibration_src_interaction_studentt8_0215,calibration,src_interaction_studentt8,101116,0.1840584238534529,1.2898082634642996,0.1914014602405852,0.1875260037926704,-0.0098256796158213,-0.0090992716191736,0.0792764390681043,0.1094754144152838,3.769615717119336,5.055780573276155,0.0182621138621138,0.0664059544059544,0.1595629548229275,1.1177643565173885,0.8,0.1999999999999999,0,nan,0.211641400004737
calibration_src_interaction_studentt8_0221,calibration,src_interaction_studentt8,101122,0.1596873348530897,1.4323896906587763,0.2861190694742315,0.2815701045475824,-0.0040895110031077,-0.0065550549150486,0.0096529453260122,0.1043827514351786,3.624568637499842,4.562780807591666,0.0260618474626929,0.0358621678621678,0.0844790967100141,0.7563792027605769,0.5294117647058824,0.4705882352941176,0,nan,0.2175356000079773
calibration_src_interaction_studentt8_0227,calibration,src_interaction_studentt8,101128,0.0481368882487467,0.4759979212835213,0.1853545330525083,0.1882249572916239,0.0070762426553217,0.0076463333706965,0.0302896567783176,0.0308931237534363,3.597581651958165,4.296861866432601,0.0295898071898071,0.0683948483948484,0.1239841117076583,0.8240304328312995,0.2083333333333333,0.7916666666666666,0,nan,0.2893567999999504
calibration_src_interaction_studentt8_0233,calibration,src_interaction_studentt8,101134,0.1744157379650729,0.8576738663123041,0.1240454266349191,0.1248811027477694,0.0021952863158522,0.0049150001579616,0.0598868098806112,0.1452483751245007,3.840269035499337,4.951738420521781,0.0265498489498489,0.0664980904980905,0.1007304051822213,0.8636982585742385,0.6190476190476191,0.3809523809523809,0,nan,0.2129148000094574
calibration_src_interaction_studentt8_0239,calibration,src_interaction_studentt8,101140,0.1329238884276712,1.1504890055820858,0.1072481356494841,0.1152333728333728,0.0151407213707263,0.0372443403273873,0.1628821046406788,0.1451555948168613,3.998644183552476,5.619294549159764,0.0515700563700563,0.1713872553872553,0.1122448221993977,0.950218310685683,0.2142857142857142,0.7857142857142857,0,nan,0.2120609999983571
calibration_src_interaction_studentt8_0245,calibration,src_interaction_studentt8,101146,0.0849539418299562,0.6390701523064148,0.1635939308633266,0.1596419372657703,-0.011128932873914,-0.0108264252619354,0.0079357199372689,0.0737896267098229,3.705470246642688,4.708380367707255,0.0098210630300675,0.0204422125035391,0.0292676632075078,0.3010068420078469,0.3157894736842105,0.6842105263157895,0,nan,0.2477158999827224
calibration_src_interaction_studentt8_0251,calibration,src_interaction_studentt8,101152,0.1044045376096048,0.6439124053370411,0.2055280961954358,0.2015251483216901,-0.0020895436931325,-0.0058264738873649,0.0070721333647374,0.0892968835513475,3.62203214819926,4.796954799896383,0.0185494217505855,0.0455390615390615,0.1553826970864688,1.0384751710536635,0.9166666666666666,0.0833333333333333,0,nan,0.2208952999790199
calibration_src_interaction_studentt8_0257,calibration,src_interaction_studentt8,101158,0.1386415478111183,0.7102393854879934,0.1808510833178807,0.1861451133451133,0.0070102950667947,0.0083683726718448,0.0569266327501128,0.0643815192376651,3.878041383305276,4.479851774378865,0.0250643422643422,0.0588542748542748,0.1496197217963932,0.5841197802099178,0.1666666666666666,0.8333333333333334,0,nan,0.2335909999965224
calibration_src_interaction_studentt8_0263,calibration,src_interaction_studentt8,101164,0.2034239480819904,0.975509174973332,0.1546482928642259,0.1597762101762102,0.0168913777542861,0.0246093170880026,0.0963035855050157,0.2022886427059163,3.646771170524408,5.255413053799973,0.0493651405651405,0.1141590541590541,0.2603315126988309,2.6279421833457826,0.6,0.4,0,nan,0.2677747999841813
calibration_src_interaction_studentt8_0269,calibration,src_interaction_studentt8,101170,0.2439051614413548,0.6817328208960857,0.1943926431072833,0.2030386305052971,0.049856540095139,0.054056769398585,0.1553486670528656,0.1949896474203882,3.808928246642566,4.696707154465194,0.0397917769917769,0.1443360843360843,0.2431152499367357,1.451727297706082,0.1851851851851851,0.8148148148148149,0,nan,0.2243321999849286
calibration_src_interaction_studentt8_0275,calibration,src_interaction_studentt8,101176,0.1052934767100663,0.6558658263220023,0.2854803944362752,0.2769907713907714,-0.0092678563576117,-0.0099754979029776,0.0072389540874491,0.071243602697224,3.7392802927149806,4.327440301112603,0.0121600213600213,0.0376642936642936,0.0460417287854507,0.6612243348677203,0.625,0.375,0,nan,0.2356333000061568
calibration_src_interaction_studentt8_0281,calibration,src_interaction_studentt8,101182,0.1147209499669823,0.3739263789256632,0.3886542154314315,0.3884700378033711,0.003710406636522,0.0012611577390108,0.0260358125645898,0.110194335510295,3.680018255734368,4.080338627388535,0.0171527271527271,0.0372520812520812,0.0612047145943279,0.724924056109773,0.3103448275862069,0.6896551724137931,0,nan,0.2157400999858509
calibration_src_interaction_studentt8_0287,calibration,src_interaction_studentt8,101188,0.1146631966799919,0.618253928400314,0.1451095786865571,0.1506722965389632,0.0049508985734178,0.0062002250664156,0.0365662732874569,0.0970896613931887,3.5852494121011995,4.8943573207095366,0.0253610773610773,0.0678772158772158,0.1117066957272003,0.9610241576521,0.8,0.1999999999999999,0,nan,0.2355525000020861
calibration_src_interaction_studentt8_0293,calibration,src_interaction_studentt8,101194,0.1790622280228442,1.6827454410942049,0.0992777029790875,0.1020765746099079,-0.0004034814702995,-5.822230432316361e-05,0.040215252369491,0.1362875635936618,4.006739283837107,5.6148283900560525,0.021202706002706,0.0533645693645693,0.1171778828586656,1.1121184692641437,0.2,0.8,0,nan,0.22238659998402
calibration_src_interaction_studentt8_0299,calibration,src_interaction_studentt8,101200,0.2181225285019655,0.330619351458096,0.301197814138543,0.3208366864366864,0.0626289294219544,0.0695921001533729,0.1678386374416655,0.2016291568364025,3.3007722191331004,4.212877143183207,0.0465153741153741,0.1156746556746557,0.1557915286518397,1.113617921923148,0.3939393939393939,0.6060606060606061,0,nan,0.2086609999823849
calibration_src_interaction_studentt8_0305,calibration,src_interaction_studentt8,101206,0.0646562250503641,0.5828886279353834,0.2320453394095028,0.224622302755636,-0.0063748525909175,-0.0091810803279621,0.0019619689381492,0.0622208635352128,3.668926459914886,4.372326261979588,0.0169733989733989,0.0477111117111117,0.0934885187358692,0.6986386071541908,0.6923076923076923,0.3076923076923077,0,nan,0.2563238999864552
calibration_src_interaction_studentt8_0311,calibration,src_interaction_studentt8,101212,0.0866014084425567,0.6499302036769072,0.2775038708921059,0.2768790558123891,-0.0064093324083369,-0.007751250685075,0.0066172131547841,0.0867421024944294,3.65041394160073,4.66330224668853,0.0222204498204498,0.0427845067845067,0.1085034412260419,1.0035547505922864,1.0,0.0,0,nan,0.2312547999899834
calibration_src_interaction_studentt8_0317,calibration,src_interaction_studentt8,101218,0.1348928346265318,0.7279914788492642,0.1540175584923477,0.1552419717753051,0.0007767865503768,0.0052372563989826,0.0292497526320191,0.1169484464499165,3.762417156119719,4.5811275552295605,0.0199565911565911,0.0498944178944178,0.1427762586604461,0.7836606372106298,0.1923076923076923,0.8076923076923077,0,nan,0.2383776000060606
calibration_src_interaction_studentt8_0323,calibration,src_interaction_studentt8,101224,0.1448883053709223,0.9834334608902052,0.1275956168821664,0.1358720577387244,0.0049796795525723,0.010938206676326,0.0552981130628338,0.1162907052629708,3.799287473606752,4.9369229425822265,0.0382500994500994,0.1018624378624378,0.0746634049029641,1.2867386582338942,0.3125,0.6875,0,nan,0.2210393999994266
calibration_src_interaction_studentt8_0329,calibration,src_interaction_studentt8,101230,0.1946968492847537,0.7048979272104133,0.3092017370306867,0.32892711666045,0.048082470717258,0.0548805249678876,0.1262378790456678,0.1786415815314336,3.3567077778969283,5.276634282165552,0.0540755916755916,0.1247944247944247,0.2171643073941638,1.7455234549210998,0.3243243243243243,0.6756756756756757,0,nan,0.2191486000083387
calibration_src_interaction_studentt8_0335,calibration,src_interaction_studentt8,101236,0.0694251740312053,0.590045139961676,0.2635317094010005,0.2588195430862097,-0.0094313202997022,-0.0129358070496635,0.0028623571331626,0.0630197921132648,3.6765159921609873,4.4243019082035975,0.0193459765459765,0.0341220941220941,0.0473780469030053,0.6137077329310785,0.2857142857142857,0.7142857142857143,0,nan,0.216222299990477
calibration_src_interaction_studentt8_0341,calibration,src_interaction_studentt8,101242,0.0947862235412762,0.6114341711782766,0.3647605120496063,0.3670689502689503,0.0005562507377616,-0.0084593221527942,0.0309165777366442,0.0686623328246751,3.4422447881580363,4.488893392645659,0.0257695637695637,0.0568447768447768,0.0959382371502582,1.1703549671648283,0.2916666666666667,0.7083333333333333,0,nan,0.2156696000020019
calibration_src_interaction_studentt8_0347,calibration,src_interaction_studentt8,101248,0.2185814844121608,0.9836768231904734,0.1999188312247054,0.207068619068619,0.0158485997917241,0.0140576527723012,0.0639077904277623,0.1810880699961985,3.636020227487702,4.735462336280552,0.0303203811203811,0.0643694443694443,0.2042414603908359,1.238178347929872,0.2941176470588235,0.7058823529411764,0,nan,0.2142203999974299
calibration_src_interaction_studentt8_0353,calibration,src_interaction_studentt8,101254,0.1340303522945578,0.9149060223256676,0.158300453842919,0.1581242082575416,0.0113156574781789,0.0167373926894447,0.0842671466961635,0.0543541450320828,3.8744262142449983,4.969739428050662,0.0331291099291099,0.0646123246123246,0.1502743639737415,0.957636745313577,0.4583333333333333,0.5416666666666667,0,nan,0.225993500003824
calibration_src_interaction_studentt8_0359,calibration,src_interaction_studentt8,101260,0.0924740805981119,0.8683202606126106,0.1051798005395022,0.1099154517279728,0.0039187233228781,0.0229893400309312,0.1389624635704684,0.0491290639703389,3.89374153303436,4.4868578970067965,0.0563419283936903,0.1457994737994738,0.0876016708365691,1.5954250504094665,0.3,0.7,0,nan,0.2450201999745331
calibration_src_interaction_studentt8_0365,calibration,src_interaction_studentt8,101266,0.1094722705395829,1.1947253617206708,0.2708850201991956,0.2555858353191687,-0.0105106573950933,-0.0134518961641699,0.0192870715649058,0.0754338196336839,3.9241163153682046,5.606108905744367,0.0147337923337923,0.0477527757527757,0.091430892643787,0.9591068284612568,0.3478260869565217,0.6521739130434783,0,nan,0.2266892999759875
calibration_src_interaction_studentt8_0371,calibration,src_interaction_studentt8,101272,0.085354664239551,0.7318691223290722,0.2607349018934408,0.2628653830438678,-0.0038539371448994,-0.0025213212987816,0.0248117090843626,0.0786883170026195,3.816161816637551,4.845378979135483,0.0220662460663686,0.0541627741627741,0.0848586187823851,0.9620461351552478,0.5789473684210527,0.4210526315789473,0,nan,0.2240071000123862
