task_id,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,cdfm_mean_edge_probability,cdfm_mean_confidence,cdfm_mean_entropy,cdfm_mean_margin,cdfm_edge_density,cdfm_max_degree,cdfm_auto_threshold,cdfm_threshold_margin_mean,cdfm_threshold_margin_p10,cdfm_threshold_margin_p25,cdfm_threshold_near_frac_002,cdfm_threshold_near_frac_005,cdfm_bootstrap_disagreement,cdfm_bootstrap_edge_jaccard,cdfm_bootstrap_probability_drift_mean,cdfm_bootstrap_probability_drift_p90,cdfm_bootstrap_threshold_std,cdfm_bootstrap_threshold_crossing_rate
train_interaction_gaussian_000,0.08422902829381065,0.21873406716050542,0.18140636034304616,0.19035524875524873,0.015693400013817076,0.031479396231359015,0.14985829194351405,0.48107443430606195,0.6990052529637186,0.5866031252385491,0.19900525296371865,0.3888888888888889,12.0,0.5312609547899692,0.2053879900524372,0.08015658688236196,0.1359890277255319,0.022222222222222223,0.06666666666666667,0.17222222222222222,0.6736363636363636,0.10688800721710054,0.22887763688211304,0.010479349393058196,0.17222222222222222
train_interaction_gaussian_001,0.13838108048084258,0.22959211589576625,0.16404953112681483,0.1709537754871088,0.018412110773102244,0.03191690482331854,0.12974706898279859,0.3805926478284058,0.7555521845230879,0.5168365224343581,0.25555218452308776,0.18888888888888888,6.0,0.6614148618544141,0.34439223350990256,0.11199569795778383,0.23335712818206572,0.011111111111111112,0.022222222222222223,0.08333333333333334,0.6228070175438596,0.10108081840228324,0.22838462280821156,0.023273482189037464,0.08333333333333334
train_interaction_gaussian_002,0.10562501999930611,0.16516136875317441,0.1196723395236386,0.12446456153122819,0.0099633937742791,0.02412843701924582,0.11999543835191134,0.27985830071366025,0.8700129615211503,0.3556346186679269,0.37001296152115026,0.18888888888888888,6.0,0.6933693686948033,0.48099286558247123,0.153635541880391,0.3719490151701721,0.0,0.03333333333333333,0.022222222222222223,0.8823529411764706,0.08876840838235307,0.19915436926591296,0.0029034102694509016,0.022222222222222223
train_interaction_gaussian_003,0.15512224837451735,0.20079121900991467,0.3118902391020455,0.32354599207932544,0.030379356954318378,0.04011452851228896,0.11374863866350596,0.42808227815060235,0.7090832400300167,0.5676886970698666,0.2090832400300166,0.25555555555555554,7.0,0.5844144495414044,0.24953522863074348,0.11018516363314075,0.15107675986600483,0.022222222222222223,0.03333333333333333,0.10555555555555556,0.68125,0.09937329627949293,0.18388295576563013,0.02468874972888413,0.10555555555555556
train_interaction_gaussian_004,0.0871347882895873,0.19750476335085393,0.10255857704074371,0.10509273602606935,0.012075345204641458,0.028596429211596257,0.1323560975630515,0.33166783837678376,0.7720165065707633,0.5043892629392674,0.27201650657076326,0.1111111111111111,6.0,0.6986548507439336,0.4083119423842238,0.13968540187597744,0.2924040581229628,0.011111111111111112,0.011111111111111112,0.05555555555555555,0.6666666666666666,0.10067054531923936,0.2118127741479461,0.013041370609771286,0.05555555555555555
train_interaction_gaussian_005,0.14632467669638094,0.15363337083364,0.15060255690896848,0.15698234498234498,0.016343527139771483,0.035946469732773864,0.1936716391213981,0.3807427177621598,0.741082952629336,0.5337714185872073,0.24108295262933588,0.2111111111111111,7.0,0.6260152502837134,0.3056554821302362,0.067855367219516,0.18908981795196683,0.022222222222222223,0.06666666666666667,0.1,0.6086956521739131,0.1118902217438548,0.25333729128330107,0.024718404003171546,0.1
train_interaction_gaussian_006,0.07083682993023147,0.10241437684705201,0.13249013844242608,0.13668221401554734,0.003440795533940045,0.010383956365313935,0.07032913135650466,0.36581095981347816,0.7595197445736815,0.516290384126221,0.2595197445736815,0.17777777777777778,8.0,0.6719424085539617,0.36041939017817676,0.10174256744074742,0.22475629719689927,0.022222222222222223,0.044444444444444446,0.04444444444444444,0.7801857585139318,0.0838045402642199,0.17495593269433557,0.013495954894883644,0.04444444444444444
train_interaction_gaussian_007,0.17120660144724464,0.24479622606453616,0.3533437778549479,0.3653142679809347,0.026885732888582307,0.03898628852561016,0.12754905130113242,0.3623184283142647,0.7867385201236644,0.4691382368063242,0.2867385201236642,0.17777777777777778,5.0,0.6767453000023708,0.3754990307217247,0.0708355506658003,0.23175309430788632,0.011111111111111112,0.07777777777777778,0.13333333333333333,0.5583333333333333,0.100402384055684,0.23482710326286277,0.024836919511428635,0.13333333333333333
train_interaction_gaussian_008,0.19613927937024903,0.31127986029640875,0.3721535689144593,0.38388807508807515,0.030270354601634193,0.05389787572103916,0.16630676916924506,0.3953746348270971,0.7727626076623352,0.4859855442399929,0.27276260766233523,0.2777777777777778,11.0,0.6323857118058308,0.3295839900784262,0.10436027046696786,0.20523994003950813,0.011111111111111112,0.05555555555555555,0.06666666666666667,0.775,0.0766213206736408,0.1674035312301046,0.02611671094166712,0.06666666666666667
train_interaction_gaussian_009,0.1494692333499354,0.17697740191014583,0.1453431414752065,0.15090017143350481,0.008187761385084433,0.02977437479565494,0.17937050128048296,0.42149491039273757,0.7176948903884688,0.562217773457389,0.21769489038846876,0.24444444444444444,9.0,0.601840791998191,0.263456842941391,0.07330553630253007,0.17815451624115497,0.044444444444444446,0.08888888888888889,0.10555555555555556,0.689247311827957,0.08359718352829565,0.21684838403056755,0.0037266852047800336,0.10555555555555556
