split,domain,model,selected,diagnostic_only,n_tasks,spearman_ci_low,spearman_ci_high,risk_at_50_ci_low,risk_at_50_ci_high,spearman,pearson,mae,risk_at_25,risk_at_50,risk_at_75,risk_at_100,full_risk,relative_risk_reduction_at_50
FINAL,piecewise_exponential,B0_constant,False,False,20,0.0,0.0,0.20517155824780506,0.2781465115385579,,,0.07289789406074293,0.244157482957658,0.244157482957658,0.244157482957658,0.244157482957658,0.244157482957658,0.0
FINAL,piecewise_exponential,B1_metadata_ridge,False,False,20,-0.066876549847557,0.7885449347996064,0.16111700446769095,0.2665710199411572,0.44561563971112694,0.5870006925330343,0.06300451993725216,0.2001242236024845,0.22466982674076497,0.22384762067922653,0.24415748295765796,0.24415748295765796,0.07981592855899716
FINAL,piecewise_exponential,B2_ood_only,False,False,20,-0.24635241812622893,0.7336495835594298,0.167388899037876,0.2754032467532468,0.31087712702820175,0.5382678847835192,0.06913121053207259,0.2001242236024845,0.22189964681524782,0.23394863078023664,0.244157482957658,0.244157482957658,0.09116180209914002
FINAL,piecewise_exponential,B3_confidence_ridge,False,False,20,-0.02510846707357029,0.8844973587403648,0.16041651676272756,0.26349319015103445,0.48475755401007725,0.47900269865942163,0.05362844157254924,0.17922786505906713,0.20911154018503594,0.22596017479178065,0.244157482957658,0.244157482957658,0.14353827025117122
FINAL,piecewise_exponential,B4_threshold_aware_ridge,False,False,20,-0.04680707271990087,0.8231494760066188,0.16214644711639598,0.2591767721296965,0.4659393259817357,0.4715334854682527,0.049966387301015956,0.2250776674306086,0.21359849868801276,0.22644502327662913,0.2441574829576579,0.2441574829576579,0.1251609571800211
FINAL,piecewise_exponential,B5_proposed_ridge,False,False,20,-0.05112136998994475,0.8106830882895784,0.16408194522868436,0.260118595066485,0.45088474355906255,0.45779163284436686,0.05224302959194149,0.2250776674306086,0.21193183202134608,0.21842497315131584,0.24415748295765796,0.24415748295765796,0.13198715249657325
FINAL,piecewise_exponential,B6_selected_proposed,True,False,20,-0.043308518984368334,0.8716395670349179,0.1546266040012843,0.25718256923114574,0.5080921567652208,0.5702993344784316,0.04677451276218454,0.2068958492487904,0.2032502961658972,0.22708298180932457,0.244157482957658,0.244157482957658,0.16754426813473886
FINAL,piecewise_exponential,M2_AdditiveSpline,False,True,20,-0.18474842720175347,0.694314220994569,0.1783745557511542,0.26264139292080474,0.3251789803297413,0.29674247770607465,0.06712601853205961,0.24222052457346574,0.22227909345556407,0.21994012466646737,0.244157482957658,0.244157482957658,0.08960769597173514
FINAL,piecewise_exponential,M3_RandomForest,False,True,20,0.004548696930650341,0.8746460011498517,0.1523343242435314,0.2558455246900091,0.5080921567652208,0.5702993344784316,0.04677451276218454,0.2068958492487904,0.2032502961658972,0.22708298180932457,0.244157482957658,0.244157482957658,0.16754426813473886
FINAL,piecewise_exponential,M4_HistGradientBoosting,False,True,20,0.11181119221736086,0.8556421344733225,0.15127622313747635,0.2519483702571938,0.5412122380951018,0.5505558114790563,0.05741306952954671,0.2068958492487904,0.2032502961658972,0.21930216613377201,0.24415748295765796,0.24415748295765796,0.16754426813473874
FINAL,piecewise_gaussian,B0_constant,False,False,20,0.0,0.0,0.2992458143530028,0.3773753251312002,,,0.08578135959788327,0.3399913271387573,0.3399913271387573,0.3399913271387573,0.3399913271387573,0.3399913271387573,0.0
FINAL,piecewise_gaussian,B1_metadata_ridge,False,False,20,-0.36727350696513544,0.6249923446775072,0.26948679356494004,0.39434009586116037,0.17598368016590446,0.1258864742038103,0.08517548603192868,0.2715789473684211,0.3427380902850011,0.3297053424377657,0.33999132713875735,0.33999132713875735,-0.008078921216489487
FINAL,piecewise_gaussian,B2_ood_only,False,False,20,-0.48422976045500377,0.5116930099815494,0.26698143551828557,0.3883812419770507,0.02945649582176083,0.04723361990838659,0.08250404239043967,0.35442416046878533,0.32090010464324087,0.33190762810420166,0.3399913271387573,0.3399913271387573,0.056152086749333203
FINAL,piecewise_gaussian,B3_confidence_ridge,False,False,20,0.1562899122559538,0.8061405961448214,0.2486735491903172,0.36700298600699655,0.5453228200849057,0.5074253999271666,0.06519316474383552,0.2813567251461988,0.3181746144471624,0.31211640963144155,0.3399913271387573,0.3399913271387573,0.06416843886929818
FINAL,piecewise_gaussian,B4_threshold_aware_ridge,False,False,20,0.22999100619316623,0.8125379554273395,0.24617779049071958,0.3422766241879059,0.5929063902585193,0.5971886969592214,0.06151783004910253,0.2897777777777778,0.2931746144471624,0.31413661165164364,0.3399913271387573,0.3399913271387573,0.13769972630063013
FINAL,piecewise_gaussian,B5_proposed_ridge,False,False,20,0.1491930525079219,0.7893814820428192,0.24776244816188395,0.34495543478260865,0.541546346261603,0.5815644986134881,0.06516252188928398,0.32803864734299515,0.2931746144471624,0.31720174575126053,0.3399913271387573,0.3399913271387573,0.13769972630063013
FINAL,piecewise_gaussian,B6_selected_proposed,True,False,20,0.21715100845179008,0.8462497065339006,0.24780706839562675,0.36622900304233846,0.6200970017862986,0.5778392568410784,0.059703780188950895,0.24935672514619886,0.3181746144471624,0.3141366116516436,0.3399913271387573,0.3399913271387573,0.06416843886929818
FINAL,piecewise_gaussian,M2_AdditiveSpline,False,True,20,-0.03291294744761514,0.7602091095297332,0.2439431578070614,0.3753964267866068,0.45544274309030214,0.43602051336193687,0.0695828157086906,0.28784274529401965,0.3130441796645537,0.33053507908459384,0.33999132713875724,0.33999132713875724,0.07925833785520607
FINAL,piecewise_gaussian,M3_RandomForest,False,True,20,0.24558817368099622,0.8446947481114566,0.2449122807017544,0.36253601532567054,0.6200970017862986,0.5778392568410784,0.059703780188950895,0.24935672514619886,0.3181746144471624,0.3141366116516436,0.3399913271387573,0.3399913271387573,0.06416843886929818
FINAL,piecewise_gaussian,M4_HistGradientBoosting,False,True,20,0.22183513744492567,0.8044519033445824,0.24333450292397668,0.34025243223683205,0.6019699274344458,0.5981562498804669,0.06517276333912023,0.2905521274450494,0.2931746144471624,0.31413661165164364,0.33999132713875735,0.33999132713875735,0.13769972630063027
FINAL,piecewise_student_t3,B0_constant,False,False,20,0.0,0.0,0.09805886805496443,0.1863379895870894,,,0.16254429011462898,0.1406125988273653,0.1406125988273653,0.1406125988273653,0.1406125988273653,0.1406125988273653,0.0
FINAL,piecewise_student_t3,B1_metadata_ridge,False,False,20,-0.5752350868631768,0.4036428888752689,0.08789793137619224,0.23229243823809037,-0.07834288845435701,-0.12194332302810218,0.1299012804752823,0.13431077778903863,0.16619079792992836,0.1502709894696254,0.14061259882736526,0.14061259882736526,-0.1819054573763073
FINAL,piecewise_student_t3,B2_ood_only,False,False,20,-0.44174976704238994,0.5177723999923391,0.08318127413459896,0.2197349582784365,0.03088517717912152,-0.03338974598825393,0.1343685027505132,0.16573268921095008,0.14638939018734415,0.14915987835851433,0.14061259882736526,0.14061259882736526,-0.04108302817922625
FINAL,piecewise_student_t3,B3_confidence_ridge,False,False,20,-0.10879165390371781,0.8309334672320869,0.04010478685401285,0.1570841712753476,0.4271194014771195,0.4687822945853454,0.10637946278536066,0.09059829059829058,0.0959776674072003,0.11334205096173958,0.14061259882736526,0.14061259882736526,0.3174319498565327
FINAL,piecewise_student_t3,B4_threshold_aware_ridge,False,False,20,0.14868765110995905,0.8622300339461952,0.03471319852629582,0.1498584098506699,0.5822985843770959,0.6012134931035652,0.08872083837645464,0.05620915032679739,0.0959776674072003,0.10572300334269195,0.1406125988273653,0.1406125988273653,0.31743194985653284
FINAL,piecewise_student_t3,B5_proposed_ridge,False,False,20,0.11856911667167067,0.8702673972047864,0.036923889362508296,0.14468708843528805,0.565726050280982,0.6496088368905061,0.08803950615802432,0.05620915032679739,0.08597766740720031,0.10572300334269195,0.14061259882736526,0.14061259882736526,0.3885493325334387
FINAL,piecewise_student_t3,B6_selected_proposed,True,False,20,-0.14347145730436714,0.8578152678390236,0.03924049376835754,0.15312711800869688,0.38041498720625283,0.5084264430058595,0.11088786445151835,0.10236299648064354,0.09134803777757068,0.10572300334269193,0.14061259882736526,0.14061259882736526,0.35035666405880395
FINAL,piecewise_student_t3,M2_AdditiveSpline,False,True,20,-0.16408793663205382,0.8290021241696742,0.04948119261199754,0.1532899499880924,0.3834281752237281,0.4046920837670063,0.09251651066829794,0.08697838109602815,0.09041901510941758,0.11905633667602529,0.14061259882736526,0.14061259882736526,0.3569636301194604
FINAL,piecewise_student_t3,M3_RandomForest,False,True,20,-0.14548279240489284,0.8587091864558768,0.037945177308146734,0.15446246403272917,0.38041498720625283,0.5084264430058595,0.11088786445151835,0.10236299648064354,0.09134803777757068,0.10572300334269193,0.14061259882736526,0.14061259882736526,0.35035666405880395
