task_id,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,cdfm_mean_edge_probability,cdfm_mean_confidence,cdfm_mean_entropy,cdfm_mean_margin,cdfm_edge_density,cdfm_max_degree,cdfm_auto_threshold,cdfm_threshold_margin_mean,cdfm_threshold_margin_p10,cdfm_threshold_margin_p25,cdfm_threshold_near_frac_002,cdfm_threshold_near_frac_005,cdfm_bootstrap_disagreement,cdfm_bootstrap_edge_jaccard,cdfm_bootstrap_probability_drift_mean,cdfm_bootstrap_probability_drift_p90,cdfm_bootstrap_threshold_std,cdfm_bootstrap_threshold_crossing_rate
final_piecewise_exponential_000,1.3241580032708835,4.118060137072977,0.14844957097510744,0.12284001484001486,0.021164199054368713,0.07971517459489258,0.4586608784332442,0.31568112502448203,0.8163557014846348,0.4250018532160745,0.3163557014846348,0.15555555555555556,5.0,0.7200879156165213,0.45971615628179885,0.17806273313477017,0.3213556728349217,0.011111111111111112,0.011111111111111112,0.05,0.743421052631579,0.07444720082804698,0.17433022472194798,0.020555097717255277,0.05
final_piecewise_exponential_001,1.3950227886138395,4.634448906080072,0.1952294218237616,0.15105453745453745,0.04541750944238768,0.08122788182565555,0.5522372960587684,0.34682483602573905,0.822584388636553,0.4049217503591372,0.322584388636553,0.23333333333333334,6.0,0.6901849514337748,0.41819376048423645,0.137614936187815,0.2651350953964903,0.03333333333333333,0.044444444444444446,0.07222222222222222,0.7104743083003953,0.07692366003738876,0.17980637544936234,0.005812664036901727,0.07222222222222222
final_piecewise_exponential_002,1.1973656336197318,4.469895627663006,0.21727076957341032,0.1748184265517599,0.14878654164818128,0.13832992547062165,0.4960709515620141,0.30857071272097153,0.8173511633656756,0.41658325397967205,0.31735116336567565,0.12222222222222222,4.0,0.7501407822310103,0.4841811423397049,0.16751545449777244,0.2951580048477705,0.011111111111111112,0.03333333333333333,0.03888888888888889,0.7307692307692308,0.07939947357390426,0.18376989258035303,0.009669833976072073,0.03888888888888889
final_piecewise_exponential_003,1.4125933321314743,5.040085236962266,0.13740406590418403,0.11335127492505348,0.025718900871754283,0.0921494372536714,0.5063374082941313,0.2893565932607659,0.8855531982869651,0.27219139804173326,0.3855531982869652,0.18888888888888888,9.0,0.7334251599228363,0.508357901399277,0.13619162742160204,0.2568719607265218,0.011111111111111112,0.044444444444444446,0.03333333333333333,0.8460526315789474,0.07070280269670187,0.18048084958639898,0.004837318901815102,0.03333333333333333
final_piecewise_exponential_004,1.586478861892563,3.9071850634612266,0.19141368203439219,0.16741654101654102,-0.014664395763069445,-0.022869246651252735,0.01338471729297494,0.280793096781969,0.8345683316906731,0.39982886084345187,0.33456833169067324,0.13333333333333333,6.0,0.7570158021160989,0.5171307962917999,0.18438205225957632,0.4302217800007509,0.0,0.011111111111111112,0.03333333333333333,0.7774725274725275,0.09378597728224317,0.21594422849634723,0.013207256728743233,0.03333333333333333
final_piecewise_exponential_005,1.5117845002818802,4.941910544439731,0.16925263050941186,0.14749788429788432,0.022068460000344743,0.09155327309551739,0.4258343013868977,0.32473721618508894,0.8365630609704827,0.3631497653756141,0.33656306097048283,0.18888888888888888,6.0,0.7234526577871111,0.45814917830396,0.11787707066587462,0.25463851795579395,0.011111111111111112,0.06666666666666667,0.07222222222222222,0.675,0.08388221025199319,0.20960047041745825,0.019131387138995204,0.07222222222222222
final_piecewise_exponential_006,1.5484581723038993,5.512512837404501,0.10544693149291469,0.09123175843175843,-0.0018864147501959992,0.06259250618708996,0.5028304419681267,0.23081578978235356,0.8415236634611513,0.38542742537746644,0.34152366346115115,0.08888888888888889,3.0,0.7341153024180455,0.5332068446625644,0.2626072534602694,0.4733771768697548,0.0,0.011111111111111112,0.03333333333333333,0.7181818181818183,0.10824597139142257,0.25537370958360267,0.01481607951176006,0.03333333333333333
final_piecewise_exponential_007,0.9057717604736706,3.039684896694273,0.28164638453427493,0.2573976248642915,0.026195219037232244,0.08828105676956796,0.4870755456022915,0.3670382605765272,0.800590440661609,0.4354341161955057,0.3005904406616091,0.2111111111111111,6.0,0.6773827166592175,0.3834315856890895,0.09310174484263792,0.23213139802621677,0.03333333333333333,0.07777777777777778,0.07777777777777778,0.7275862068965517,0.07022273006143537,0.14767362067783601,0.019851455000177043,0.07777777777777778
final_piecewise_exponential_008,0.8375232872510281,5.59191119824278,0.2453487291168744,0.22031696351696353,0.11357181492726873,0.1260539982526793,0.44872283425694254,0.38531692815751817,0.8208535025660901,0.4164792893364983,0.3208535025660901,0.2777777777777778,9.0,0.6460851154502418,0.37374466078837004,0.10415190696074832,0.22941014560832287,0.022222222222222223,0.03333333333333333,0.07777777777777778,0.7846638655462186,0.058964198834747336,0.13569958288651718,0.008486064120400483,0.07777777777777778
final_piecewise_exponential_009,1.2554798660565025,4.3919686112590535,0.2073279936142474,0.17902740889407556,0.025716992718730108,0.09627108829857797,0.5112240711370857,0.3334945911532195,0.8280122467569286,0.399885793397673,0.32801224675692864,0.2111111111111111,6.0,0.6814354704079303,0.42605310716835015,0.14577895641991045,0.2869542863069561,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.8500000000000001,0.08573487503443383,0.19691723408139494,0.0032183582678245726,0.03333333333333333
