dataset_id,base_seed,lambda,n_samples,n_variables,edge_count,cdfm_f1,lingam_f1,cdfm_precision,lingam_precision,cdfm_recall,lingam_recall,cdfm_shd,lingam_shd,cdfm_runtime_sec,lingam_runtime_sec,cdfm_threshold,winner,winner_margin,raw_prediction_path
seed_14_lambda_0p50,14,0.5,1000,10,11,0.8571428571428572,0.64,0.9,0.5714285714285714,0.8181818181818182,0.7272727272727273,3,7,1.9234268000000156,0.20249599999806378,0.7170911958970076,cdfm,0.2171428571428572,results/raw_predictions/seed_14_lambda_0p50.npz
seed_14_lambda_0p75,14,0.75,1000,10,11,0.6206896551724137,0.1904761904761905,0.5,0.2,0.8181818181818182,0.18181818181818182,11,13,1.8365279999998165,0.21739930000330787,0.6603057675918587,cdfm,0.43021346469622324,results/raw_predictions/seed_14_lambda_0p75.npz
seed_14_lambda_1p00,14,1.0,1000,10,11,0.7826086956521738,0.32,0.75,0.2857142857142857,0.8181818181818182,0.36363636363636365,5,13,1.9963370999903418,0.22166689998994116,0.7446840696122422,cdfm,0.46260869565217383,results/raw_predictions/seed_14_lambda_1p00.npz
seed_15_lambda_0p00,15,0.0,1000,10,5,1.0,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,0,1,1.894413000001805,0.2027451000030851,0.7599994471581971,cdfm,0.09090909090909094,results/raw_predictions/seed_15_lambda_0p00.npz
seed_15_lambda_0p25,15,0.25,1000,10,5,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,1.0,1,0,1.9397164000110934,0.21481650001078378,0.7826628683359236,lingam,0.09090909090909094,results/raw_predictions/seed_15_lambda_0p25.npz
seed_15_lambda_0p50,15,0.5,1000,10,5,0.8333333333333333,0.3076923076923077,0.7142857142857143,0.25,1.0,0.4,2,6,1.8821447000082117,0.2095887000032235,0.7975538964469467,cdfm,0.5256410256410255,results/raw_predictions/seed_15_lambda_0p50.npz
seed_15_lambda_0p75,15,0.75,1000,10,5,0.8333333333333333,0.3333333333333333,0.7142857142857143,0.2857142857142857,1.0,0.4,2,5,1.9146176999929594,0.2160745000001043,0.7530161491840284,cdfm,0.49999999999999994,results/raw_predictions/seed_15_lambda_0p75.npz
seed_15_lambda_1p00,15,1.0,1000,10,5,0.8333333333333333,0.3333333333333333,0.7142857142857143,0.2857142857142857,1.0,0.4,2,5,1.8800880999915535,0.19968940000399016,0.7708688938963201,cdfm,0.49999999999999994,results/raw_predictions/seed_15_lambda_1p00.npz
seed_16_lambda_0p00,16,0.0,1000,10,14,0.689655172413793,1.0,0.6666666666666666,1.0,0.7142857142857143,1.0,8,0,1.8804967000032775,0.21345340000698343,0.7287951270241991,lingam,0.31034482758620696,results/raw_predictions/seed_16_lambda_0p00.npz
seed_16_lambda_0p25,16,0.25,1000,10,14,0.689655172413793,1.0,0.6666666666666666,1.0,0.7142857142857143,1.0,7,0,1.8991811999876518,0.2090576000045985,0.7317166014003211,lingam,0.31034482758620696,results/raw_predictions/seed_16_lambda_0p25.npz
seed_16_lambda_0p50,16,0.5,1000,10,14,0.7692307692307692,0.75,0.8333333333333334,0.9,0.7142857142857143,0.6428571428571429,6,5,1.8968912999989698,0.2093307999894023,0.7175594488169655,cdfm,0.019230769230769162,results/raw_predictions/seed_16_lambda_0p50.npz
