dataset_id,base_seed,lambda,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max
seed_00_lambda_0p00,0,0.0,0.09526150820191719,1.739705828987907,0.1644850883066996,0.16395327195327195,-0.011823302501841677,-0.026108789643536284,0.006216854022988641
seed_00_lambda_0p25,0,0.25,0.15640734175758983,1.98554979162819,0.1222967482878438,0.11976161789495123,-0.0054569193610642976,-0.011153476381582518,0.026551231315873457
seed_00_lambda_0p50,0,0.5,0.18601178286202824,2.044499525989601,0.07728689183037861,0.07480051133384469,0.0033979817290832473,0.020056216817898456,0.18838274562948823
seed_00_lambda_0p75,0,0.75,0.16551908125428796,1.721193099116184,0.07723510258247379,0.09849747263080598,0.01790361685352289,0.056070307272407825,0.3348090089183425
seed_00_lambda_1p00,0,1.0,0.17556393106773957,1.3570131988281595,0.09622919945606988,0.12113758327091663,0.057844870270979225,0.08761316047410796,0.49367115608266776
seed_01_lambda_0p00,1,0.0,0.14101708763135384,2.2591842963068096,0.17867691957573154,0.17245166578499915,-0.010077222358382282,-0.01366007751619156,0.018960499604254347
seed_01_lambda_0p25,1,0.25,0.1904228039558817,2.4650582190101114,0.13242455276082898,0.1297612988279655,0.0019888539096362266,0.006035312512907546,0.08006397797770883
seed_01_lambda_0p50,1,0.5,0.1981175884854755,2.514069677115308,0.07340102410967655,0.07662020675354009,0.005178334456313778,0.032092371398819715,0.24237495481669757
seed_01_lambda_0p75,1,0.75,0.19996606892801902,2.1998611043872462,0.07079968195499262,0.08323122829789496,0.0034756118827890623,0.056985908111741757,0.39509853729181205
seed_01_lambda_1p00,1,1.0,0.2400949287664229,1.9056285858482194,0.0891093305589367,0.09737035977035977,0.013061232941368857,0.07415079687877787,0.5190243606696789
seed_02_lambda_0p00,2,0.0,0.2026450844980598,2.7570963661007255,0.12531082604972513,0.12463807263807263,-0.011695397758182683,-0.022131073577673546,0.007362823350624427
seed_02_lambda_0p25,2,0.25,0.238627551119751,2.814935556421964,0.10128280307873362,0.09882067002067,-0.0050448751705187995,-0.006465583435177358,0.03824409031657789
seed_02_lambda_0p50,2,0.5,0.23799669824251546,2.8518577415250173,0.06935644232596436,0.06459782273115607,0.00676423186074172,0.02189187555639404,0.15495455613793122
seed_02_lambda_0p75,2,0.75,0.2348326338801415,2.746120801385205,0.055103476140732195,0.06571275764832937,-0.0021427712072202257,0.03764320899811909,0.2979320868336524
seed_02_lambda_1p00,2,1.0,0.2475799213294163,2.5671852169330336,0.05629634412573937,0.06767095833762501,0.01934643846549479,0.08002598883078851,0.430516347284844
seed_03_lambda_0p00,3,0.0,0.14878012408653454,2.2574043061682403,0.16971876108940487,0.16431860245193577,-0.032798767740683285,-0.041789850215448884,-0.009144670869062168
seed_03_lambda_0p25,3,0.25,0.15934260059881228,2.214636489455954,0.13660873353121564,0.13802748069414733,-0.0030576936394243128,-0.005599015730843983,0.030129955270194356
seed_03_lambda_0p50,3,0.5,0.18547520613161875,2.255561834885411,0.09245475000642772,0.09711379284712619,0.008094082613973489,0.029064787552562706,0.1661556420564576
seed_03_lambda_0p75,3,0.75,0.19959246453439275,2.1485045274746772,0.06311304769037657,0.06836487743154411,0.00590112717818061,0.047922284561194385,0.30042250835327394
seed_03_lambda_1p00,3,1.0,0.23439318304366313,2.0787703578531995,0.06964209003821432,0.07899916353249688,0.03146892434345653,0.09543549663133338,0.44362791514984656
seed_04_lambda_0p00,4,0.0,0.13949298945057298,1.8691650896528045,0.2935888232880621,0.2843943233276567,-0.012952931466227993,-0.016432849639891337,0.035853153070194
seed_04_lambda_0p25,4,0.25,0.21285709770990965,2.0892226240057465,0.1969592416450389,0.18422468075801415,0.0021163860125800126,0.0070343426439340535,0.05061674141261025
seed_04_lambda_0p50,4,0.5,0.2587082125790876,2.2587949920536787,0.10190087444344577,0.09203560830227497,0.016730036853702213,0.05032253982587213,0.17493269261934308
seed_04_lambda_0p75,4,0.75,0.30763462493309407,2.0954221900247445,0.07551486645298422,0.08327441607441609,0.01102663942708234,0.08085221230050255,0.3086626822593106
seed_04_lambda_1p00,4,1.0,0.4147932261407347,1.8763164006124349,0.10736719242648642,0.1067548640881974,0.03539174082550657,0.11354345318288597,0.419206554862346
seed_05_lambda_0p00,5,0.0,0.0688681159216377,1.5239947023298792,0.25541836103421844,0.247913883647217,-0.005329452366437156,-0.0099590154030721,0.018329724939271902
seed_05_lambda_0p25,5,0.25,0.11902610173199255,1.9371458218075486,0.17649561991304324,0.16718406825073492,0.010490414954705842,0.009008253865975747,0.06328745325655392
seed_05_lambda_0p50,5,0.5,0.16010396492366266,2.1272615426130757,0.09190373826521425,0.08967058513725182,0.01673331196923499,0.044789042487105316,0.19514226876357577
seed_05_lambda_0p75,5,0.75,0.16944362231660728,1.7497442153124574,0.0884833016151544,0.10863621023621024,0.01751023239819922,0.05456966870834259,0.23747707495180723
seed_05_lambda_1p00,5,1.0,0.16751272534786402,1.1091530166259544,0.12675481151198645,0.14447502607502608,0.03200150263419252,0.08946489957740508,0.4771909166234774
seed_06_lambda_0p00,6,0.0,0.179790249020449,1.968540189487415,0.14110050658995366,0.13659660166326834,-0.011597339805390466,-0.011384881955406575,0.01096561675696518
seed_06_lambda_0p25,6,0.25,0.17762151648887836,1.9959201811148835,0.11495091451642712,0.1127152692486026,0.0011676176191727644,0.005984553291527248,0.07961925674063772
seed_06_lambda_0p50,6,0.5,0.20047664464620985,2.043939139037484,0.07927843991197976,0.07948673735340403,0.007282044999071423,0.028468828348451186,0.23117970927148546
seed_06_lambda_0p75,6,0.75,0.2179554014898099,1.9573678643535672,0.06300161293564277,0.07568388208388209,0.002973113689131955,0.04451434561152609,0.2515276058657242
seed_06_lambda_1p00,6,1.0,0.2905504647548245,1.8906633682446805,0.06943212956218767,0.08306073319406654,0.003929347966946367,0.07352555995282249,0.525678228178237
seed_07_lambda_0p00,7,0.0,0.17606435562963987,1.3292225928604497,0.27187881993075613,0.2702572678572679,-0.008302610303344959,-0.009715370506923289,0.019331635505834523
seed_07_lambda_0p25,7,0.25,0.21933004975495535,1.6308519464793534,0.2008585536710528,0.2033841305841306,0.001503034508794796,0.00625984238422856,0.04537324898389845
seed_07_lambda_0p50,7,0.5,0.2046774381261835,1.7467794044851375,0.11640757199461274,0.12111306404639739,0.024534008432732308,0.04011152205668937,0.16638421836494155
seed_07_lambda_0p75,7,0.75,0.19996786942545156,1.5016800873100555,0.0749608849119978,0.08348752588752589,0.01499265427674536,0.0700653976232099,0.34083810215338783
seed_07_lambda_1p00,7,1.0,0.2591516362701948,1.3217023713768967,0.0965295160666848,0.10306952920286254,0.012702667854592328,0.06234436902538689,0.31094300232232647
seed_08_lambda_0p00,8,0.0,0.06891836419345534,1.7296370314364384,0.2425455221315983,0.22781139581139584,-0.016549919072051264,-0.01574275609210952,0.009503138549361334
seed_08_lambda_0p25,8,0.25,0.13633287247856488,2.065652987993864,0.16354426741692368,0.15497280083946752,0.00215365968818612,0.002348342262320137,0.04562897505089364
seed_08_lambda_0p50,8,0.5,0.17136463255033035,2.1816639383854217,0.08775644217949792,0.08364048977382313,0.01621469201369961,0.02845750514636399,0.16431080032365508
seed_08_lambda_0p75,8,0.75,0.17680724426894362,1.7912226000315932,0.08540305614745985,0.09249050689050689,0.023866289049205198,0.06892673437124189,0.312917541243684
seed_08_lambda_1p00,8,1.0,0.21017636476512408,1.4455489547804274,0.10747428122000138,0.11741412274745607,0.018927347562694485,0.08170133095889244,0.41674879335388637
seed_09_lambda_0p00,9,0.0,0.13933625937290858,2.004139105288935,0.22849232758999538,0.22380197686864356,-0.007624086600912848,-0.005738988994325042,0.04382460298798964
seed_09_lambda_0p25,9,0.25,0.11211702645096108,2.185441421525679,0.17852383080716963,0.17666798573465242,-2.9529092402323458e-05,0.0009373620553387748,0.04526387977173008
seed_09_lambda_0p50,9,0.5,0.1275240944087979,2.2834788914376243,0.11478510780437978,0.11355537195537195,0.01765624719130315,0.03090149277160727,0.1704167928528347
seed_09_lambda_0p75,9,0.75,0.1395091612503941,2.0627566698329325,0.10234589215642687,0.11364482324482326,0.03123802684343937,0.05850469276449629,0.31969804583293643
seed_09_lambda_1p00,9,1.0,0.1229975384990388,1.8047935529687016,0.1072169437550533,0.12583264956598292,0.026603549728179597,0.08683619636428315,0.4566377322889746
seed_10_lambda_0p00,10,0.0,0.13305736302706128,1.4394853611035905,0.18946669440557884,0.1836116628116628,-0.006995248296534676,-0.010260899412401648,0.010510129971864414
seed_10_lambda_0p25,10,0.25,0.1788296597286456,1.5281730237127924,0.1481242979201197,0.14375534215534216,0.007053150290068734,0.007912864586722062,0.03873968314809024
seed_10_lambda_0p50,10,0.5,0.19681989179922899,1.5955324226453542,0.0925282146699171,0.08586185599518935,0.004424948356446458,0.03356372685145538,0.1493565501139539
seed_10_lambda_0p75,10,0.75,0.21134167011951083,1.429464462048297,0.08483488283922848,0.10212299518966185,0.013852816652846961,0.06202663711405286,0.3061093217857444
seed_10_lambda_1p00,10,1.0,0.24630552505470854,1.2726610599916792,0.1154820388103597,0.13144366264366267,0.04141406297184348,0.1111101695764259,0.4255745561577215
seed_11_lambda_0p00,11,0.0,0.12956561206088715,2.0535273641853373,0.21588504989174415,0.20477093463760135,-0.008335743299691386,-0.01634405773016355,0.009037761299330637
seed_11_lambda_0p25,11,0.25,0.2018948830555864,2.199786157893993,0.16727750911782074,0.15527867234533904,-0.012961201375277528,-0.00970707051191921,0.03750835160280375
seed_11_lambda_0p50,11,0.5,0.2620121039063558,2.2224753156295223,0.10625987538407973,0.09952814646147981,-0.004530034071311856,0.016057147845610235,0.14980334989220578
seed_11_lambda_0p75,11,0.75,0.2837848926255863,1.9733830843033815,0.10604908437018946,0.1164343649676983,0.017004823021939685,0.07372594480009027,0.2894381561962605
seed_11_lambda_1p00,11,1.0,0.3054006536960665,1.7013546157073054,0.11874902400296553,0.12810109690109692,0.08441080614494767,0.1275094246480512,0.4112982756708898
seed_12_lambda_0p00,12,0.0,0.1924974684906633,1.9243628457554138,0.16525211825971842,0.16220228566895234,-0.009585518792932606,-0.011699338159528816,0.030563755949874503
seed_12_lambda_0p25,12,0.25,0.20975586455481093,2.177335713650691,0.12390655778097225,0.11675048315048311,-0.006262500643114826,-0.000937944414014261,0.047372103608373635
