task_id,graph_seed,mechanism,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,cdfm_edge_count,cdfm_edge_density,cdfm_mean_degree,cdfm_max_degree,cdfm_lingam_adj_disagreement,cdfm_mean_edge_probability,cdfm_mean_confidence,cdfm_mean_entropy,cdfm_mean_margin,cdfm_bootstrap_disagreement,cdfm_bootstrap_edge_jaccard,cdfm_auto_threshold,cdfm_threshold_margin_mean,cdfm_threshold_margin_p10,cdfm_threshold_margin_p25,cdfm_threshold_near_frac_002,cdfm_threshold_near_frac_005,cdfm_runtime_sec,bootstrap_runtime_sec,lingam_runtime_sec
sine_seed_321000,321000,sine,0.2316635658134067,1.776590317298492,0.07059864983415799,0.08933053839720508,0.01220147047429679,0.11332327246539468,0.4559706799853232,8.0,0.08888888888888889,1.6,2.0,0.12222222222222222,0.26870202512654695,0.8315268626590754,0.39753194916952317,0.33152686265907516,0.03333333333333333,0.7291666666666667,0.7310918954211625,0.4984375906463767,0.1742991926663529,0.3994025458696697,0.0,0.03333333333333333,2.0527049000374973,4.06376900000032,0.20672299998113886
sine_seed_321001,321001,sine,0.13224240759315925,1.2747455953143634,0.08771165895177556,0.11073123633123633,0.00916982349092616,0.10736899116785778,0.46820338954431234,15.0,0.16666666666666666,3.0,6.0,0.2111111111111111,0.3099254391219847,0.8162133497929812,0.4224898605830043,0.31621334979298127,0.05,0.7196078431372549,0.7236751008570785,0.4646149749655481,0.2071561593592513,0.3498489541433896,0.03333333333333333,0.05555555555555555,2.248003799992148,4.054430699965451,0.2239253000007011
sine_seed_321002,321002,sine,0.17381727438888606,1.2132364832039932,0.15915112530718095,0.2072882112882113,0.022442782277566877,0.10394026253657747,0.43989344096069405,13.0,0.14444444444444443,2.6,5.0,0.34444444444444444,0.3465653951598543,0.7999026272475229,0.43043277913245936,0.29990262724752287,0.08888888888888889,0.5294117647058824,0.7118283861912437,0.41784516225089485,0.07851395827305903,0.2405071566055303,0.03333333333333333,0.05555555555555555,2.0648648000205867,4.016023300006054,0.2103283000178635
sine_seed_321003,321003,sine,0.1722694477598425,1.6101290148317875,0.1219853928374003,0.14930219383552717,0.016281658444880127,0.06961031047423019,0.41748941809849893,26.0,0.28888888888888886,5.2,9.0,0.3111111111111111,0.4502515493800611,0.7242554930129346,0.5577786262457258,0.2242554930129346,0.14444444444444443,0.5924242424242424,0.5959764537355272,0.2592552734033359,0.10306931941355288,0.17068975848561607,0.03333333333333333,0.044444444444444446,2.130514199961908,4.015816500002984,0.19757399999070913
sine_seed_321004,321004,sine,0.21546726492598894,1.228793199166328,0.13342944252962466,0.16691752051752054,0.0588994303712705,0.15701639192751252,0.44434177763280086,15.0,0.16666666666666666,3.0,5.0,0.26666666666666666,0.2982016367735633,0.8498939694290507,0.37003280608334477,0.34989396942905066,0.07777777777777778,0.6274509803921569,0.7318261469635557,0.48942890782739046,0.14253414624637734,0.32223894145407306,0.011111111111111112,0.022222222222222223,2.147755399986636,4.15214439999545,0.21146239998051897
sine_seed_321005,321005,sine,0.1982762114730912,1.3684196109670301,0.12299938691367637,0.15190163056829725,0.014949249937707031,0.08515886614955576,0.4521963215579493,15.0,0.16666666666666666,3.0,5.0,0.36666666666666664,0.33605086112502547,0.8175454461525058,0.42199234791380313,0.31754544615250574,0.06666666666666667,0.6944444444444444,0.7105650098904958,0.4374315852233293,0.14880544618569036,0.2749384356674869,0.044444444444444446,0.05555555555555555,2.0912281000055373,4.119282600004226,0.21534059999976307
sine_seed_321006,321006,sine,0.2184080588282896,1.6212744130061296,0.0786190622048309,0.11000427053760385,0.015552232215113596,0.12093508519445659,0.44677078114840857,12.0,0.13333333333333333,2.4,5.0,0.2222222222222222,0.3165909046100476,0.8008392535059616,0.45974896772795176,0.3008392535059616,0.05,0.6794871794871795,0.7062394519956666,0.4376441383681692,0.18203168557156443,0.30650160503161805,0.0,0.03333333333333333,2.2724732999922708,4.04377150000073,0.21139020001282915
sine_seed_321007,321007,sine,0.11442241616211064,0.82869437312134,0.10476379735809552,0.13520844400844403,0.007024094193126891,0.11448797766694903,0.4659362289010793,13.0,0.14444444444444443,2.6,4.0,0.25555555555555554,0.32569849922962224,0.8146228777393831,0.41723540735780623,0.31462287773938313,0.07222222222222222,0.6624649859943978,0.7224864957629361,0.4529897775809936,0.144435557040626,0.28657508642577345,0.011111111111111112,0.011111111111111112,2.0730428000097163,4.054836699971929,0.21879159996751696
sine_seed_321008,321008,sine,0.18839745143589934,1.511397474853927,0.103804978619314,0.12625763265763268,0.017091435084221816,0.10629999508670798,0.4435347800137687,7.0,0.07777777777777778,1.4,3.0,0.18888888888888888,0.28172879482454427,0.8030637299690699,0.4367450743653254,0.30306372996906983,0.011111111111111112,0.8888888888888888,0.7333620237878136,0.4855490318376874,0.25722831629889065,0.3567356711604267,0.011111111111111112,0.011111111111111112,2.1105908999452367,4.081935299967881,0.20777879998786375
sine_seed_321009,321009,sine,0.15022167679217918,1.5823154489729514,0.09577388671454698,0.11448904728904728,0.007757466924147855,0.07748176707474816,0.37925825152229714,15.0,0.16666666666666666,3.0,6.0,0.32222222222222224,0.361063650059255,0.7929704729336703,0.44671798205514357,0.2929704729336703,0.07222222222222222,0.694508009153318,0.6855001323028268,0.38917681467434667,0.07415433601859656,0.22492131646973917,0.022222222222222223,0.08888888888888889,2.153396599984262,4.025120800011791,0.20898019999731332
