family,model,n_train,n_test,spearman,spearman_ci_low,spearman_ci_high,pearson,mae,risk_at_25,risk_at_50,risk_at_50_ci_low,risk_at_50_ci_high,risk_at_75,risk_at_100,relative_risk_reduction_at_50
softsign,stable_ridge_v1,60,25,0.6648694838904766,0.3693757011016671,0.841169871368762,0.6957050575833803,0.06202726787291168,0.10056689342403631,0.13178749355219946,0.08149676304088072,0.19950347854759617,0.16974248938058056,0.1975083346047975,0.3327497099507297
softsign,confidence_ridge,60,25,0.5962626617846766,0.2598993028668359,0.8217337243571917,0.5135518240575214,0.07196246190882365,0.12727757769774578,0.14861217214158393,0.08976944624003447,0.202366416263475,0.16393486687604333,0.1975083346047975,0.24756505876601057
softsign,metadata_ridge,60,25,-0.11408774911975712,-0.5998376788027185,0.33073655519131456,-0.12497863320929417,0.09542163398744248,0.20922769107643058,0.202842211108465,0.14860091593992525,0.24674873647164675,0.19905807220619018,0.19750833460479747,-0.027005829978467913
softsign,ood_only,60,25,-0.08440951708522572,-0.4703565182457244,0.3430144807071488,0.05189519955060358,0.08275348722942527,0.1972820644757718,0.231504197925712,0.15298638842890627,0.28266498126874023,0.19114994449098047,0.1975083346047975,-0.17212368981257534
softsign,old_candidate_ridge,60,25,0.5276558396788767,0.13585640451096168,0.768948865782946,0.6009490187674865,0.07224586251940071,0.1277777777777778,0.16151408504349682,0.10426074470192119,0.2174366347160465,0.17278342505309516,0.1975083346047975,0.18224167417199402
softsign,threshold_aware_ridge,60,25,0.5222597974907801,0.09648030520573808,0.8148157100129516,0.2973063422523521,0.08538391173142144,0.10686941443243965,0.14513231866173043,0.0851261728467611,0.20731121791213064,0.17843278236450233,0.1975083346047975,0.2651838265350593
softsign,constant,60,25,,,,,0.0825090825785796,0.1975083346047975,0.1975083346047975,0.1586005480138761,0.23769214120280246,0.1975083346047975,0.1975083346047975,0.0
sine,stable_ridge_v1,60,25,0.23060645907143654,-0.17647732462508728,0.5887963258555478,0.31193928919246405,0.08484847943183489,0.2817582417582418,0.2705663567202029,0.226048112144266,0.328999471682164,0.27320582671841254,0.3004456898548302,0.09945003088266786
sine,confidence_ridge,60,25,-0.1147257509236863,-0.5430951789482762,0.2903056348883345,-0.02253111545616957,0.09412863466063345,0.3235871271585557,0.3031188005602722,0.24546876544117352,0.35450950921059615,0.2966394106783123,0.3004456898548302,-0.008897151118172335
sine,metadata_ridge,60,25,-0.12858523761245377,-0.49905867848481383,0.27550361976580945,-0.11291682539193423,0.12594642022022293,0.3216571574866506,0.3142476406699005,0.26287798644831273,0.3634270216962525,0.30781084957344845,0.3004456898548302,-0.04593825533572854
sine,ood_only,60,25,-0.2683350617241924,-0.6325015596784097,0.1377192195700559,-0.23431549226334938,0.1009889760641059,0.3361731849930608,0.33309301713498496,0.27722788460056497,0.38094719118673975,0.3205733149178192,0.3004456898548302,-0.10866299095829705
sine,old_candidate_ridge,60,25,0.3707412689245299,-0.07714563168485278,0.7197283041737439,0.4206788202994601,0.08662393934965733,0.28498168498168497,0.27234718548614334,0.21622443850607626,0.321376091856861,0.2744701808284152,0.3004456898548302,0.09352274077309466
sine,threshold_aware_ridge,60,25,0.5366701234483848,0.21088421274234456,0.7609599129272432,0.6261655453409113,0.0749579386108302,0.21042750210452077,0.24733548131541444,0.20304299231055087,0.30856264879676254,0.28460933549034234,0.3004456898548302,0.17677141104962313
sine,constant,60,25,,,,,0.09634545880693508,0.3004456898548302,0.3004456898548302,0.26183962373297576,0.3419020097885596,0.3004456898548302,0.3004456898548302,0.0
